job_id,company_name,job_title,role,location,job_type,salary_min,salary_max,experience_years_min,experience_years_max,required_skills,company_size,date_posted
36,Marriott,Revenue Analyst,Data Analyst,London,On-site,26000,36000,1,3,"SQL, Excel, Power BI",Large,2026-05-26
37,Booking.com,Data Scientist,Data Scientist,Amsterdam,Remote,48000,68000,2,5,"Python, SQL, ML, Statistics",Large,2026-06-01
38,Expedia,ML Engineer,ML Engineer,London,Remote,50000,70000,3,6,"Python, ML, SQL, TensorFlow",Large,2026-05-29
39,Sky,Data Analyst,Data Analyst,London,Hybrid,29000,39000,1,3,"SQL, Python, Tableau, Excel",Large,2026-05-28
40,Virgin Media,Business Analyst,Data Analyst,London,On-site,27000,37000,1,3,"SQL, Excel, Power BI, Python",Large,2026-06-02
41,BT Group,Data Scientist,Data Scientist,London,Hybrid,44000,60000,2,4,"Python, SQL, ML, Tableau",Large,2026-05-31
42,Vodafone,Senior Data Analyst,Data Analyst,London,Hybrid,35000,47000,3,5,"SQL, Power BI, Python, Excel",Large,2026-05-27
43,O2,BI Developer,Data Analyst,London,On-site,28000,38000,2,4,"SQL, Power BI, Excel, Python",Large,2026-05-26
44,Barclays,Data Scientist,Data Scientist,London,On-site,48000,68000,3,6,"Python, SQL, ML, Statistics",Large,2026-06-01
45,HSBC,Business Analyst,Data Analyst,London,On-site,32000,42000,1,3,"SQL, Excel, Power BI, VBA",Large,2026-05-29
46,Lloyds,Data Analyst,Data Analyst,London,Hybrid,27000,37000,1,3,"SQL, Excel, Tableau, Python",Large,2026-05-28
47,NatWest,ML Engineer,ML Engineer,London,Hybrid,52000,72000,4,7,"Python, ML, SQL, Cloud",Large,2026-06-02
48,Santander,Junior Data Scientist,Data Scientist,London,Remote,38000,48000,1,3,"Python, SQL, Statistics, ML",Large,2026-05-31
49,Amex,Senior Analyst,Data Analyst,London,On-site,40000,52000,4,6,"SQL, Power BI, Python, Excel",Large,2026-05-27
50,Visa,Data Scientist,Data Scientist,London,Hybrid,50000,70000,3,6,"Python, SQL, ML, Big Data",Large,2026-05-26
